start_station_name,date,num_trips
Harry Bridges Plaza (Ferry Building),11/3/2013,8
Harry Bridges Plaza (Ferry Building),11/11/2013,39
Harry Bridges Plaza (Ferry Building),1/9/2014,47
Harry Bridges Plaza (Ferry Building),1/26/2014,33
Harry Bridges Plaza (Ferry Building),5/20/2014,51
Harry Bridges Plaza (Ferry Building),3/18/2014,54
Harry Bridges Plaza (Ferry Building),3/12/2014,39
Harry Bridges Plaza (Ferry Building),4/9/2015,67
Harry Bridges Plaza (Ferry Building),9/10/2013,46
Harry Bridges Plaza (Ferry Building),9/11/2013,44
Harry Bridges Plaza (Ferry Building),9/30/2013,41
Harry Bridges Plaza (Ferry Building),1/8/2014,50
Harry Bridges Plaza (Ferry Building),2/20/2014,48
Harry Bridges Plaza (Ferry Building),6/26/2014,45
Harry Bridges Plaza (Ferry Building),6/18/2014,66
Harry Bridges Plaza (Ferry Building),5/15/2014,49
Harry Bridges Plaza (Ferry Building),8/22/2015,37
Harry Bridges Plaza (Ferry Building),6/7/2015,29
Harry Bridges Plaza (Ferry Building),5/23/2015,32
Harry Bridges Plaza (Ferry Building),1/19/2015,23
Harry Bridges Plaza (Ferry Building),1/10/2015,28
Harry Bridges Plaza (Ferry Building),10/14/2014,52
Harry Bridges Plaza (Ferry Building),9/13/2014,54
Harry Bridges Plaza (Ferry Building),9/7/2015,7
Harry Bridges Plaza (Ferry Building),8/7/2016,26
Harry Bridges Plaza (Ferry Building),10/24/2013,44
Harry Bridges Plaza (Ferry Building),11/4/2013,39
Harry Bridges Plaza (Ferry Building),12/13/2013,48
Harry Bridges Plaza (Ferry Building),12/14/2013,33
Harry Bridges Plaza (Ferry Building),1/28/2014,41
Harry Bridges Plaza (Ferry Building),2/15/2014,49
Harry Bridges Plaza (Ferry Building),2/16/2014,29
Harry Bridges Plaza (Ferry Building),5/18/2014,23
Harry Bridges Plaza (Ferry Building),8/11/2015,54
Harry Bridges Plaza (Ferry Building),6/18/2015,71
Harry Bridges Plaza (Ferry Building),10/23/2014,53
Harry Bridges Plaza (Ferry Building),10/2/2014,57
Harry Bridges Plaza (Ferry Building),10/8/2015,61
Harry Bridges Plaza (Ferry Building),5/12/2016,83
Harry Bridges Plaza (Ferry Building),9/16/2013,48
Harry Bridges Plaza (Ferry Building),12/29/2013,29
Harry Bridges Plaza (Ferry Building),7/5/2015,20
Harry Bridges Plaza (Ferry Building),5/17/2015,30
Harry Bridges Plaza (Ferry Building),10/7/2014,60
Harry Bridges Plaza (Ferry Building),2/13/2016,38
Harry Bridges Plaza (Ferry Building),6/18/2016,23
Harry Bridges Plaza (Ferry Building),6/30/2016,50
Harry Bridges Plaza (Ferry Building),7/15/2016,61
Harry Bridges Plaza (Ferry Building),10/9/2013,52
Harry Bridges Plaza (Ferry Building),10/22/2013,43
Harry Bridges Plaza (Ferry Building),10/23/2013,42
Harry Bridges Plaza (Ferry Building),11/27/2013,33
Harry Bridges Plaza (Ferry Building),12/11/2013,35
Harry Bridges Plaza (Ferry Building),12/16/2013,37
Harry Bridges Plaza (Ferry Building),2/3/2014,44
Harry Bridges Plaza (Ferry Building),6/7/2014,42
Harry Bridges Plaza (Ferry Building),4/12/2014,49
Harry Bridges Plaza (Ferry Building),8/7/2015,59
Harry Bridges Plaza (Ferry Building),7/23/2015,68
Harry Bridges Plaza (Ferry Building),6/25/2015,62
Harry Bridges Plaza (Ferry Building),9/29/2014,42
Harry Bridges Plaza (Ferry Building),9/10/2014,53
Harry Bridges Plaza (Ferry Building),7/29/2016,52
Harry Bridges Plaza (Ferry Building),10/19/2013,51
Harry Bridges Plaza (Ferry Building),1/7/2014,40
Harry Bridges Plaza (Ferry Building),1/14/2014,50
Harry Bridges Plaza (Ferry Building),7/30/2015,65
Harry Bridges Plaza (Ferry Building),5/30/2015,47
Harry Bridges Plaza (Ferry Building),12/22/2014,70
Harry Bridges Plaza (Ferry Building),9/5/2015,40
